"","Date","Client","Industry","Location","Position","Skillset","Interview_Type","Gender","Candidate_Loc","Job_Location","Venue","Native_Loc","Permission","Hope","3_hour_call","Alt_Number","Resume_Printout","Clarify_Venue","Share_Letter","Expected","Attendance","Marital_Status","Distance","DayOfWeek"
"1","2015-02-13","Hospira","Pharmaceuticals","chennai","Production- Sterile","Routine","scheduled walk in","Male","Chennai","hosur","Hosur","Hosur","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",309433,"Fri"
"2","2015-02-13","Hospira","Pharmaceuticals","chennai","Production- Sterile","Routine","scheduled walk in","Male","Chennai","bangalore","Hosur","Trichy","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",309433,"Fri"
"3","2015-02-13","Hospira","Pharmaceuticals","chennai","Production- Sterile","Routine","scheduled walk in","Male","Chennai","chennai","Hosur","Chennai",NA,"unsure",NA,NA,NA,NA,NA,"uncertain","no","Single",309433,"Fri"
"4","2015-02-13","Hospira","Pharmaceuticals","chennai","Production- Sterile","Routine","scheduled walk in","Male","Chennai","chennai","Hosur","Chennai","yes","yes","no","yes","no","yes","yes","uncertain","no","Single",309433,"Fri"
"5","2015-02-13","Hospira","Pharmaceuticals","chennai","Production- Sterile","Routine","scheduled walk in","Male","Chennai","bangalore","Hosur","Chennai","yes","yes","yes","no","yes","yes","yes","uncertain","no","Married",309433,"Fri"
"6","2015-02-13","Aon Hewitt","IT","gurgaon","Selenium testing","Routine","scheduled walk in","Male","Gurgaon","gurgaon","Gurgaon","Gurgaon","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"7","2015-02-13","Aon Hewitt","IT","gurgaon","Selenium testing","Routine","scheduled walk in","Male","Gurgaon","gurgaon","Gurgaon","Gurgaon","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"8","2015-02-13","Aon Hewitt","IT","gurgaon","Selenium testing","Routine","scheduled walk in","Female","Gurgaon","gurgaon","Gurgaon","Noida","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"9","2015-02-13","Aon Hewitt","IT","gurgaon","Selenium testing","Routine","scheduled walk in","Male","Gurgaon","gurgaon","Gurgaon","Delhi","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"10","2015-02-13","Aon Hewitt","IT","gurgaon","Selenium testing","Routine","scheduled walk in","Female","Gurgaon","gurgaon","Gurgaon","Delhi","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Fri"
"11","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"12","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Female","Bangalore","bangalore","Bangalore","Trivandrum","no","yes","no","no","yes","yes","yes","uncertain","no","Single",0,"Fri"
"13","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Bangalore","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"14","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Trivandrum","no","yes","yes","yes","yes","yes","no","uncertain","yes","Single",0,"Fri"
"15","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"16","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Female","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"17","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Female","Bangalore","bangalore","Bangalore","Trivandrum","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"18","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Female","Bangalore","bangalore","Bangalore","Bangalore","no","yes","yes","no","yes","yes","yes","no","no","Single",0,"Fri"
"19","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
